Trial,Parameters,Value
25,"{'learning_rate': 0.0037080552254431143, 'weight_decay': 0.0009884805674376515, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.18732661033163264
26,"{'learning_rate': 0.00012561314316430298, 'weight_decay': 0.00011557297891855673, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.09292689732142857
27,"{'learning_rate': 0.002256063231057094, 'weight_decay': 0.00034163758517450645, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1782784598214286
28,"{'learning_rate': 0.01377801019358178, 'weight_decay': 0.0006014331561359794, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.16416214923469388
29,"{'learning_rate': 0.02137423115767366, 'weight_decay': 0.00015903682056532021, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.034355070153061225
30,"{'learning_rate': 0.0004042613674161306, 'weight_decay': 6.035564453560235e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.12580317283163264
31,"{'learning_rate': 0.003961734726820177, 'weight_decay': 0.000994821946698379, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.189241868622449
32,"{'learning_rate': 0.0029389842164265424, 'weight_decay': 0.0007927584445692913, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.18033721301020408
33,"{'learning_rate': 0.001356772025260778, 'weight_decay': 0.0005550796250504167, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.16556919642857143
34,"{'learning_rate': 0.009237424397321137, 'weight_decay': 0.0003753753426393519, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.16723533163265306
35,"{'learning_rate': 0.003464954117676402, 'weight_decay': 3.784724282292409e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1772999043367347
36,"{'learning_rate': 0.05604195079101994, 'weight_decay': 0.0007498347272755575, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.04894969706632653
37,"{'learning_rate': 0.019873909794952016, 'weight_decay': 0.000962655785616416, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.05815927933673469
38,"{'learning_rate': 0.0006393919365726813, 'weight_decay': 0.0004466806652302215, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.14705436862244897
39,"{'learning_rate': 0.029254903779533856, 'weight_decay': 0.0002597167312519441, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.08387675382653062
