Trial,Parameters,Value
40,"{'learning_rate': 6.916925120231747e-05, 'weight_decay': 2.048446951125968e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.09646444515306123
41,"{'learning_rate': 0.0014499812889503993, 'weight_decay': 0.0003384429145064602, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.17845782844387753
42,"{'learning_rate': 0.0013596910381392026, 'weight_decay': 0.0003036560042050973, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.18277463329081634
43,"{'learning_rate': 0.0005585961016832145, 'weight_decay': 0.00019985720477546168, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.15798788265306124
44,"{'learning_rate': 0.0003184152845622842, 'weight_decay': 0.00030038456321234113, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.12629344706632653
45,"{'learning_rate': 0.0011088373797717363, 'weight_decay': 0.00013344613627885748, 'optimizer': 'SGD', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.009703842474489795
46,"{'learning_rate': 0.00277571476064741, 'weight_decay': 0.0002464978674496092, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.17781010841836736
47,"{'learning_rate': 0.00101860794026837306, 'weight_decay': 0.0001331916459001898, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.18389269770408162
48,"{'learning_rate': 0.007229978863618739, 'weight_decay': 4.3114391651953965e-05, 'optimizer': 'AdamW', 'epochs': 20, 'xavier_init': True, 'batch_size': 1024}",0.11121851084183673
49,"{'learning_rate': 0.000671174516663853, 'weight_decay': 0.00036468204800823667, 'optimizer': 'Adam', 'epochs': 20, 'xavier_init': False, 'batch_size': 1024}",0.1532585299744898
